doi,title,authors,author_corresponding,author_corresponding_institution,date,version,type,license,category,jatsxml,abstract,published,server
10.1101/2020.08.19.20178343,"The Effects of Coronavirus Victimization Distress and Coronavirus Racial Bias on Mental Health Among AIAN, Asian, Black, and Latinx Young Adults","Fisher, C. B.; Tao, X.; Yip, T.",Celia B. Fisher,Dr,2021-06-01,4,PUBLISHAHEADOFPRINT,cc_by_nc_nd,psychiatry and clinical psychology,https://www.medrxiv.org/content/early/2021/06/01/2020.08.19.20178343.source.xml,"RationaleU.S. Racial/ethnic minorities have been disproportionately impacted by the COVID-19 pandemic in rates of infection and morbidity. Pre-pandemic racial discrimination has been associated with depression and general anxiety. However, the effect of Coronavirus specific forms of discrimination on mental health have not been examined. This study assessed the effect of previously identified social determinants of mental health and COVID-19 specific victimization and racial bias beliefs on depression and anxiety among young adults of color in the U.S.

MethodsA national online survey of 399 AIAN, Asian, Black, and Latinx adults (18 - 25 years) included demographic variables, COVID-19 health risks, and standardized measures of depression, anxiety, Coronavirus related victimization distress and perceptions of Coronavirus-related racial bias across a range of contexts.

ResultsEmployment, financial and prescription insecurity, COVID-19 health risks, Coronavirus victimization distress and Coronavirus racial bias beliefs were positively correlated with depression and anxiety. Scores on the Coronavirus racial bias scale were significantly higher among Asian and Black respondents. Structural equation modeling controlling for race/ethnicity and demographic variables indicated perceived Coronavirus racial bias mediated the effect of Coronavirus victimization distress on both mental health indices.

ConclusionResults suggest the COVID-19 pandemic has created new pathways to mental health disparities among young adults of color by reversing formerly protective factors such as employment, and by exacerbating structural and societal inequities linked to race. Findings highlight the necessity of creating mental health services tailored to the specific needs of racial/ethnic minorities during the current and future health crises.",NA,medrxiv
10.1101/2020.09.02.20186999,Temporal stability of the ventral attention network and general cognition along the Alzheimer's disease spectrum,"Chumin, E. J.; Risacher, S. L.; West, J. D.; Apostolova, L. G.; Farlow, M. R.; McDonald, B. C.; Wu, Y.-C.; Saykin, A. J.; Sporns, O.",Evgeny J Chumin,Indiana University,2021-06-01,3,PUBLISHAHEADOFPRINT,cc_no,neurology,https://www.medrxiv.org/content/early/2021/06/01/2020.09.02.20186999.source.xml,"Understanding the interrelationships of clinical manifestations of Alzheimers disease (AD) and functional connectivity (FC) as the disease progresses is necessary for use of FC as a potential neuroimaging biomarker. Degradation of resting-state networks in AD has been observed when FC is estimated over the entire scan, however, the temporal dynamics of these networks are less studied. We implemented a novel approach to investigate the modular structure of static (sFC) and time-varying (tvFC) connectivity along the AD spectrum in a two-sample Discovery/Validation design (n=80 and 81, respectively). Cortical FC networks were estimated across 4 diagnostic groups (cognitively normal, subjective cognitive decline, mild cognitive impairment, and AD) for whole scan (sFC) and with sliding window correlation (tvFC). Modularity quality (across a range of spatial scales) did not differ in either sFC or tvFC. For tvFC, group differences in temporal stability within and between multiple resting state networks were observed; however, these differences were not consistent between samples. Correlation analyses identified a relationship between global cognition and temporal stability of the ventral attention network, which was reproduced in both samples. While the ventral attention system has been predominantly studied in task-evoked designs, the relationship between its intrinsic dynamics at-rest and general cognition along the AD spectrum highlights its relevance regarding clinical manifestation of the disease.",10.1016/j.nicl.2021.102726,medrxiv
10.1101/2020.12.23.20248757,The spatial spread of HIV in Malawi: An individual-based mathematical model,"Estill, J.; Ng'ambi, W.; Rozanova, L.; Keiser, O.",Janne Estill,University of Geneva,2021-06-01,3,PUBLISHAHEADOFPRINT,cc_by_nc_nd,hiv aids,https://www.medrxiv.org/content/early/2021/06/01/2020.12.23.20248757.source.xml,"The prevalence of HIV varies greatly between and within countries. We therefore developed a flexible individual-based mathematical model for HIV transmission, that comprises a spatial representation and individual-level determinants. We tested this model by calibrating it to the HIV epidemic in Malawi and exploring whether the heterogeneity in HIV prevalence could be caused without accounting for heterogeneity in behaviour. We ran the model for Malawi between years 1975-2030 with five alternative realizations of the geographical structure and mobility: (I) no geographical structure; 28 administrative districts including (II) only permanent relocations between districts, (III) permanent relocations and between-district casual sexual relationships, or (IV) permanent relocations between districts and to/from abroad and between-district casual sex; and (V) a grid of 10x10km2 cells, with permanent relocations and between-cell casual relationships. We assumed HIV was present in 1975 in the districts with >10% prevalence in 2010. We calibrated the models to national and district-level prevalence estimates.

Reaching the national prevalence required all adults to have at least 20 casual sex acts/year until 1990. Models II, III and V reproduced the geographical heterogeneity in prevalence to some extent if between-district relationships were either excluded (Model II) or restricted to minimum (Models III, V). Long-distance casual partnership mixing (Models III-V) mitigated the differences in prevalence substantially; with international migration the differences disappeared completely (Model IV). National prevalence was projected to decrease to 4-5% by 2030. Our model sustained the major differences in HIV prevalence across Malawi, if casual relationships between districts were kept at sufficiently low level. An earlier introduction of HIV into the Southern part of Malawi may thus be one of the explanations to the present heterogeneity in HIV prevalence.

Author summaryThe prevalence of HIV varies greatly across the settings, both globally and within countries. The ability of the commonly used compartmental models to account for the geographical structure and individual-level determinants that cause this heterogeneity is limited. In this project, we developed an individual-based simulation framework for modelling HIV transmission in a real setting. We built the model to take into account an unlimited number of individual-level characteristics, and a geographical representation of the setting that can be defined using an arbitrary resolution and distance matrices. We demonstrate the use of this model by simulating the HIV epidemic of Malawi 1975-2030 and exploring whether the observed heterogeneity could be preserved without taking into account any spatial heterogeneity in sexual behaviour. A relatively simple version of the model reproduced the broad-scale differences in HIV prevalence, but the detailed differences will need further investigation.",NA,medrxiv
10.1101/2021.01.13.21249598,Implementing Essential Coaching for Every Mother during COVID-19: A Pilot Pre-Post Intervention Study,"Dol, J.; Aston, M.; Grant, A.; McMillan, D.; Tomblin Murphy, G.; Campbell-Yeo, M.",Justine Dol,Dalhousie University,2021-06-01,2,PUBLISHAHEADOFPRINT,,public and global health,https://www.medrxiv.org/content/early/2021/06/01/2021.01.13.21249598.source.xml,"ObjectivesThe primary objective was to evaluate the preliminary impact of Essential Coaching for Every Mother on self-efficacy, social support, postpartum anxiety and postpartum depression. The second objective was to explore the acceptability of the Essential Coaching for Every Mother program provided during the COVID-19 pandemic.

MethodsA prospective pre-post study was conducted with first time mothers in Nova Scotia, Canada between July 15th and September 19th, 2020. Participants completed a self-report survey at enrolment (after birth) and six-weeks postpartum. Various standardized measures were used and qualitative feedback on the program was also collected. Paired t-tests were carried out to determine changes from baseline to follow-up on psychosocial outcomes and qualitative feedback was analysed through thematic analysis.

ResultsA total of 88 women enrolled. Self-efficacy increased between baseline (B) and follow-up (F) (B:33.33; F:37.11, p=0.000) while anxiety (STAI) declined (B:38.49; F:34.79; p=0.004). In terms of acceptability, 89% of participants felt that the number of messages were just right, 84.5% felt the messages contained all the information they needed relative to caring for a newborn and 98.8% indicated they would recommend this program to other new mothers.

ConclusionEssential Coaching for Every Mother may play a role in increasing maternal self-efficacy and decreasing anxiety, although future work with a control group is needed to delineate the true effects of the program. Overall, mothers were satisfied with the Essential Coaching for Every Mother program and would recommend it for other mothers, during COVID-19 and beyond.",NA,medrxiv
10.1101/2021.02.03.21251007,Intention to receive a COVID-19 vaccine: Results from a population-based survey in Canada,"Ogilvie, G.; Gordon, S.; Smith, L.; Albert, A.; Booth, A.; Racey, C. S.; Gottschlich, A.; Goldfarb, D. M.; Murray, M. C. M.; Galea, L. A. M.; Kaida, A.; Brotto, L. A.; Sadarangani, M.",Gina Ogilvie,University of British Columbia,2021-06-01,2,PUBLISHAHEADOFPRINT,cc_by_nc_nd,public and global health,https://www.medrxiv.org/content/early/2021/06/01/2021.02.03.21251007.source.xml,"BackgroundThe success of any COVID-19 vaccine program ultimately depends on high vaccine uptake. This study determined overall intention to receive a COVID-19 vaccine and identified factors that predict intentions to be vaccinated against COVID-19 in Canada, specifically in key priority groups identified by the American Committee on Immunization Practice (ACIP) and the National Advisory Committee on Immunization (NACI) for early immunization.

MethodsIndividuals from research cohorts from the general population of British Columbia aged 25-69 were invited complete an online survey based on validated scales and theoretical frameworks to explore intention to receive a COVID-19 vaccine. Two multivariable logistic regression models were conducted to determine factors associated with intention to receive the COVID-19 vaccine.

ResultsOf 4,948 respondents, 79.8% intended to receive a COVID-19 vaccine. In multivariable modeling, respondents who intended to receive the vaccine had higher vaccine attitudinal scores (p <0.001), reported greater influence of direct social norms (p = 0.001), and indirect social norms, including their family physician (p = 0.024), and Provincial Health Officer (p = 0.011). Older individuals (>60 years) were more likely to intend to receive the vaccine, while females (95%CI 0.57,0.93), those with less than high school education (95%CI 0.5,0.76), those who self-identified as non-white (95%CI 0.60,0.92), self-identified as Indigenous (95%CI 0.36,0.84) and essential non-health care workers (95%CI 0.59,0.86) had lower adjusted odds of intending to receive a COVID-19 vaccine.

ConclusionsTo optimize vaccine coverage, public health should focus on key messages around vaccine safety and benefit, and leverage trusted practitioners for messaging. As certain key populations identified by NACI and ACIP for early immunization report a lower intention to vaccinate, there is a need for in-depth education and support for these communities to ensure optimal uptake.",10.1186/s12889-021-11098-9,medrxiv
10.1101/2021.02.15.21251788,COVID-19 European regional tracker,"Naqvi, A.",Asjad Naqvi,International Institute for Applied Systems Analysis (IIASA),2021-06-01,3,PUBLISHAHEADOFPRINT,cc_by,epidemiology,https://www.medrxiv.org/content/early/2021/06/01/2021.02.15.21251788.source.xml,"This Tracker presents data on daily COVID-19 cases at the sub-national level for 26 European countries from January 2020 till present. Country-level data sources are identified and processed to form a homogenized panel at the NUTS 3 or NUTS 2 level, the two lowest standardized administrative units of Europe. The strengths and weaknesses of each country dataset are discussed in detail. The raw data, spatial layers, the code, and the final homogenized files are provided in an online repository for replication. The data highlights the spatial distribution of cases both within and across countries that can be utilized for a disaggregated analysis on the impacts of the pandemic. The Tracker is updated monthly to expand its coverage.",NA,medrxiv
10.1101/2021.03.13.21253485,Impact of School Reopening on Pandemic Spread: A Case Study using an Agent-Based Model for COVID-19,"Tatapudi, H. A.; Das, T. K.",Hanisha Anand Tatapudi,University of South Florida,2021-06-01,2,PUBLISHAHEADOFPRINT,cc_no,epidemiology,https://www.medrxiv.org/content/early/2021/06/01/2021.03.13.21253485.source.xml,"This article examines the impact of partial/full reopening of school/college campuses on the spread of a pandemic using COVID-19 as a case study. The study uses an agent-based simulation model that replicates community spread in an urban region of U.S.A. via daily social mixing of susceptible and infected individuals. Data representing population demographics, SARS-CoV-2 epidemiology, and social interventions guides the models behavior, which is calibrated and validated using data reported by the government. The model indicates a modest but significant increase (8.15 %) in the total number of reported cases in the region for a complete (100%) reopening compared to keeping schools and colleges fully virtual. For partial returns of 75% and 50%, the percent increases in the number of reported cases are shown to be small (2.87% and 1.26%, respectively) and statistically insignificant. The AB model also predicts that relaxing the stringency of the school safety protocol for sanitizing, use of mask, social distancing, testing, and quarantining and thus allowing the school transmission coefficient to double may result in a small increase in the number of reported infected cases (2.14%). Hence for pandemic outbreaks from viruses with similar characteristics as for SARS-CoV-2, keeping the schools and colleges open with a modest campus safety protocol and in-person attendance below a certain threshold may be advisable.",NA,medrxiv
10.1101/2021.05.27.21257908,Policy and Effectiveness of Covid-19 Response,"Dolgikh, S.",Serge Dolgikh,National Aviation University,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,epidemiology,https://www.medrxiv.org/content/early/2021/06/01/2021.05.27.21257908.source.xml,A comparative analysis of selected national jurisdictions with respect to Covid-19 policy response indicated that factors such as effective communications and effective targeted intervention in the environments of higher epidemiological risk can be the key factors in the overall effectiveness of the epidemiological response minimizing both the impact of the epidemics and disruptions in the life of the society.,NA,medrxiv
10.1101/2021.05.27.21257929,Impact of vaccination and undetected cases on the COVID-19 pandemic dynamics in Qatar in 2021,"Nesteruk, I.",Igor Nesteruk,Institute of Hydromechanics National Academy of sciences of Ukraine,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_no,epidemiology,https://www.medrxiv.org/content/early/2021/06/01/2021.05.27.21257929.source.xml,"The third COVID-19 pandemic wave in Qatar was simulated with the use of the generalized SIR-model and the accumulated number of cases reported by Johns Hopkins University for the period: April 25 - May 8, 2021. Comparison with the SIR-curves calculated before for the second wave showed that the effect of mass vaccination is not evident during 4 months after its onset in December 2020. Additional simulations have demonstrated that many COVID-19 cases are not detected. The real accumulated number of cases can exceed the laboratory-confirmed one more than 5 times. This fact drastically increases the probability of meeting an infectious person and the epidemic duration.",NA,medrxiv
10.1101/2021.05.30.21257203,Effect of hypersensitivity pneumonitis guideline on pathologic diagnosis of interstitial pneumonia,"Ozasa, M.; Bychokov, A.; Zaizen, Y.; Tabata, K.; Uegami, W.; Yamano, Y.; Kataoka, K.; Johkoh, T.; Mukae, H.; Kondoh, Y.; Fukuoka, J.",Junya Fukuoka,Nagasaki University Graduate School of Biomedical Sciences,2021-06-01,1,PUBLISHAHEADOFPRINT,cc_by_nd,pathology,https://www.medrxiv.org/content/early/2021/06/01/2021.05.30.21257203.source.xml,"Hypersensitivity pneumonitis (HP) and interstitial pneumonia (IP) have several overlapping characteristics, and a high diagnostic concordance rate of HP is rarely obtained. Thus, new guidelines, highly influenced by pathology, were devised for its diagnosis.

We attempted to study the impact of the 2020 HP guidelines on pathological diagnosis of previously diagnosed cases of IP. Cases with fibrotic IP diagnosed in 2014-2019 were classified according to the 2020 HP guidelines into three categories: typical HP, probable HP, and indeterminate HP. The original pathological diagnosis and categorization based on the HP guidelines were compared. The clinical data including the serum data and the pulmonary function tests were compared among the groups.The study analyzed 247 consecutive cases classified into typical, probable, and indeterminate for HP, and alternative diagnoses. The number of cases that changed from an original diagnosis other than HP to HP based on the guidelines was 56 (23%). The clinical data of these cases bore greater resemblance to cases diagnosed as indeterminate for HP than those cases diagnosed as typical or probable HP. The ratios of typical and probable HP to those of the total cases were significantly low using cryobiopsy.

Thus, with the application of the new guidelines, the pathological diagnosis of HP efficiently excluded HP cases but increased the rate of HP diagnosis for cases with fibrotic IP, which may not fit well to an HP diagnosis. Cryobiopsy may not be useful in imparting findings for fibrotic HP diagnosis using the new criteria.",NA,medrxiv
